k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.68,0.8507042253521127,0.7653521126760563,0.49635036496350365,0.42508769906720073,0.35311361957267057
31,0.63,0.8676056338028169,0.7488028169014085,0.490272373540856,0.41410268480936957,0.39297362277989323
46,0.63,0.8873239436619719,0.7586619718309859,0.5185185185185185,0.4463348708084956,0.38677628375055584
61,0.63,0.8802816901408451,0.7551408450704226,0.5080645161290323,0.434389488250674,0.38888619635509386
76,0.6,0.8915492957746479,0.745774647887324,0.5063291139240507,0.43134864379542315,0.41444125669022724
91,0.62,0.8929577464788733,0.7564788732394366,0.5210084033613446,0.44883486737121847,0.39478860677441185
106,0.6,0.8971830985915493,0.7485915492957746,0.5150214592274678,0.4414945798617307,0.41300280291450214
121,0.6,0.8929577464788733,0.7464788732394366,0.5084745762711864,0.43384986588756397,0.41407492563409487
136,0.64,0.9042253521126761,0.772112676056338,0.5517241379310345,0.48473695550973683,0.37252219152413035
151,0.61,0.895774647887324,0.752887323943662,0.5191489361702127,0.44644448261383857,0.40368666564925243
166,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633
181,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633
196,0.6,0.9098591549295775,0.7549295774647887,0.5357142857142857,0.4658075202473264,0.4100309402350144
211,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633
226,0.62,0.9126760563380282,0.7663380281690141,0.5535714285714286,0.48665305015894705,0.38990443846752915
241,0.64,0.9112676056338028,0.7756338028169014,0.5638766519823789,0.49874601036593713,0.37077410617511886
256,0.62,0.9154929577464789,0.7677464788732394,0.5585585585585585,0.492502913179304,0.3892832390309637
