k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.6,0.7985915492957747,0.6992957746478874,0.396039603960396,0.302562358355757,0.447845245609548,60,40,567,143
16,0.64,0.8352112676056338,0.737605633802817,0.4555160142348754,0.3752764345068144,0.3959233844118607,64,36,593,117
31,0.65,0.8338028169014085,0.7419014084507043,0.4593639575971731,0.3805732436269911,0.3874551634317276,65,35,592,118
46,0.64,0.8352112676056338,0.737605633802817,0.4555160142348754,0.3752764345068144,0.3959233844118607,64,36,593,117
61,0.69,0.8366197183098592,0.7633098591549295,0.4842105263157895,0.4126676434323979,0.3504184875904093,69,31,594,116
76,0.6,0.8464788732394366,0.7232394366197183,0.4460966542750929,0.3614578997450918,0.4284492226178418,60,40,601,109
91,0.59,0.8549295774647887,0.7224647887323943,0.4503816793893129,0.3659109797073908,0.4349085277326081,59,41,607,103
106,0.61,0.8436619718309859,0.7268309859154929,0.4485294117647059,0.3649110273622021,0.420168512684822,61,39,599,111
121,0.63,0.8366197183098592,0.7333098591549296,0.4516129032258064,0.3699568443979468,0.4044664589865886,63,37,594,116
136,0.63,0.8436619718309859,0.7368309859154929,0.4598540145985401,0.3793975403298821,0.4016734731741386,63,37,599,111
151,0.59,0.852112676056338,0.7210563380281689,0.4469696969696969,0.3619294795600202,0.4358562384355851,59,41,605,105
166,0.61,0.8591549295774648,0.7345774647887324,0.4674329501915709,0.3867320559359083,0.4146532694460866,61,39,610,100
181,0.54,0.8633802816901408,0.7016901408450704,0.4302788844621514,0.3407317927860813,0.4798592996192375,54,46,613,97
196,0.61,0.8718309859154929,0.7409154929577464,0.4841269841269841,0.405965529324757,0.4105207621684859,61,39,619,91
211,0.53,0.8577464788732394,0.6938732394366197,0.4173228346456692,0.325060917565442,0.4910560703962041,53,47,609,101
226,0.58,0.8591549295774648,0.7195774647887323,0.4496124031007752,0.3645814729063914,0.4429868326060369,57,43,610,100
241,0.54,0.8802816901408451,0.7101408450704225,0.4518828451882845,0.3666916192258113,0.475323546350833,54,46,625,85
256,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
