Set,Filter,Threshold,TN,FP,FN,TP,Sensitivity,Specificity,Accuracy,Balanced Accuracy,MCC,F1 Score,PPV,FPR,AUC,Distance
Ind1,Original,0.3,631,79,31,679,0.956338028169014,0.8887323943661972,0.9225352112676056,0.9225352112676056,0.8470082741772028,0.9250681198910081,0.895778364116095,0.11126760563380282,0.9225352112676056,0.11952760286916689
Ind1,F1,0.3,631,79,26,233,0.8996138996138996,0.8887323943661972,0.891640866873065,0.8941731469900485,0.7466827270636535,0.8161120840630472,0.7467948717948718,0.11126760563380282,0.8941731469900485,0.14985943151569636
Ind1,F2,0.3,631,79,19,81,0.81,0.8887323943661972,0.8790123456790123,0.8493661971830986,0.5773290130195313,0.6230769230769231,0.50625,0.11126760563380282,0.8493661971830986,0.22018283326244903
Ind2,Original,0.3,1608,202,12,159,0.9298245614035088,0.8883977900552487,0.8919737506309945,0.9091111757293787,0.5952474908475706,0.5977443609022557,0.4404432132963989,0.11160220994475138,0.9091111757293787,0.13183188327093817
Ind2,F1,0.3,1608,201,12,76,0.8636363636363636,0.8888888888888888,0.8877174486030575,0.8762626262626263,0.4482128525864494,0.41643835616438357,0.2743682310469314,0.1111111111111111,0.8762626262626263,0.1758997451239192
Ind2,F2,0.3,1596,197,9,28,0.7567567567567568,0.8901282766313441,0.8874316939890711,0.8234425166940504,0.27726134943194053,0.21374045801526717,0.12444444444444444,0.10987172336865589,0.8234425166940504,0.2669064835845882
Ind3,Original,0.3,3905,835,91,837,0.9019396551724138,0.8238396624472574,0.8366266760762173,0.8628896588098356,0.5888936490282018,0.6438461538461538,0.5005980861244019,0.17616033755274263,0.8628896588098356,0.20161422507948523
Ind3,F1,0.3,3213,565,49,250,0.8361204013377926,0.8504499735309687,0.8493990679421143,0.8432851874343807,0.4475389598415615,0.4488330341113106,0.3067484662576687,0.14955002646903123,0.8432851874343806,0.22185971530355417
Ind3,F2,0.3,3122,541,40,105,0.7241379310344828,0.8523068523068523,0.8474264705882353,0.7882223916706675,0.29394290500988685,0.26548672566371684,0.16253869969040247,0.1476931476931477,0.7882223916706675,0.312910765186252
Ind4,Original,0.3,4068,701,11,539,0.98,0.8530090165653177,0.8661402519270539,0.9165045082826588,0.5998698203668614,0.6022346368715084,0.4346774193548387,0.1469909834346823,0.9165045082826588,0.14834537138412862
Ind4,F1,0.3,3215,534,10,173,0.9453551912568307,0.8575620165377434,0.861648016276704,0.901458603897287,0.44043260727358585,0.3887640449438202,0.2446958981612447,0.1424379834622566,0.9014586038972869,0.15256026433960984
Ind4,F2,0.3,3153,505,5,53,0.9137931034482759,0.8619464188080919,0.8627556512378902,0.8878697611281838,0.2691712079128261,0.17207792207792208,0.09498207885304659,0.13805358119190814,0.8878697611281838,0.16275877946516565
